nombre,marca,categoria,precio_orig,precio_actual,desc_corta,descripcion,imagen_url,url_detalle
SET DAVIDOFF ECHO POUR HOMME EDT 50 + GEL DUCHA 50 ML + AFTER SHAVE 50 ML REGULAR,Davidoff,,64.00,29.99,SET DAVIDOFF ECHO POUR HOMME EDT 50 + GEL DUCHA 50 ML + AFTER SHAVE 50 ML REGULAR,,https://perfumedigital.es/catalog/setecho2134.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37129
SET CH MEN SPORT EDT 100 ML REGULAR + AFTER SHAVE 100 ML REGULAR,Carolina Herrera,,86.00,47.99,SET CH MEN SPORT EDT 100 ML REGULAR + AFTER SHAVE 100 ML REGULAR,,https://perfumedigital.es/catalog/setchmenspo2.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37131
JABON PRADA LA FEMME DOS PASTILAS DE 100 GRAMOS CADA UNA REGULAR,PRADA,,49.00,14.99,JABON PRADA LA FEMME DOS PASTILAS DE 100 GRAMOS CADA UNA REGULAR,,https://perfumedigital.es/catalog/pradals1234.JPG,https://perfumedigital.es/index.php?op=descripcion&id=37132
CALVIN KLEIN MAN EDT 100ML REGULAR,Calvin Klein,,72.00,19.99,CALVIN KLEIN MAN EDT 100ML REGULAR,,https://perfumedigital.es/catalog/ckman232321.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37195
CK ONE UNISEX (BLANCA) EDT 200ML REGULAR,Calvin Klein,,77.00,26.99,CK ONE UNISEX (BLANCA) EDT 200ML REGULAR,,https://perfumedigital.es/catalog/ckone20087.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37331
HALLOWEEN MY WORLD EDP 125 ML,Jesus Del Pozo,,69.00,39.99,HALLOWEEN MY WORLD EDP 125 ML,,https://perfumedigital.es/catalog/hallomyworld221.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37332
SET JPG LE MALE EDT 125ML + AFTER SHAVE 50 ML + DESODORANTE STOCK 75 GRAMOS REGULAR,Jean Paul Gaultier,,102.00,75.99,SET JPG LE MALE EDT 125ML + AFTER SHAVE 50 ML + DESODORANTE STOCK 75 GRAMOS REGULAR,,https://perfumedigital.es/catalog/setlemale224.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37352
ELIZABETH ARDEN GREEN TEA LYCHEE LIME EDT 100 ML,Elizabeth Arden,,59.00,8.99,ELIZABETH ARDEN GREEN TEA LYCHEE LIME EDT 100 ML,,https://perfumedigital.es/catalog/coconutbrees31.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37371
GEOFFREY BEENE GREY FLANEL EDT 120 ML,GEOFFEY BEENE,,69.00,9.99,GEOFFREY BEENE GREY FLANEL EDT 120 ML,,https://perfumedigital.es/catalog/SXI0012886.jpg,https://perfumedigital.es/index.php?op=descripcion&id=37378
LOTE 4 DE HOMBRE: SPRINGFIELD EDT 100 ML @ + NIKE URBAN WOOD EDT 100 ML @ + CROSSMEN ORIGINAL EDT 200 ML @ + ADIDAS TEAM FORCE 100 ML,ANTONIO PUIG,,34.00,8.99,LOTE 4 DE HOMBRE: SPRINGFIELD EDT 100 ML @ + NIKE URBAN WOOD EDT 100 ML @ + CROSSMEN ORIGINAL EDT 200 ML @ + ADIDAS TEAM FORCE 100 ML,,https://perfumedigital.es/catalog/lote4manv5.JPG,https://perfumedigital.es/index.php?op=descripcion&id=36269
LOTE 16 DE HOMBRE: CROSSMEN EDC TAMAÃO GRANDE 200 ML @ + ADIDAS DYNAMIC PULSE EDT 100 ML @ + ADIDAS ICE DIVE EDT 100 ML @ + NIKE ULTRABLUE MAN EDT 100 ML,varios,,59.00,9.99,LOTE 16 DE HOMBRE: CROSSMEN EDC TAMAÃO GRANDE 200 ML @ + ADIDAS DYNAMIC PULSE EDT 100 ML @ + ADIDAS ICE DIVE EDT 100 ML @ + NIKE ULTRABLUE MAN EDT 100 ML,,https://perfumedigital.es/catalog/lote16hv2.JPG,https://perfumedigital.es/index.php?op=descripcion&id=36300
LOTE 26 DE MUJER: AGUA DE SEVILLA AZAHAR 150 ML @ + LAISEVEN TROPIC BODY MIST 200 ML @ + WOMAN SECRET ROUGE SEDUCTION EDP 100 ML @ + ADIDAS FRUITY RHYTHM 50 ML,VARIOS,,46.00,9.99,LOTE 26 DE MUJER: AGUA DE SEVILLA AZAHAR 150 ML @ + LAISEVEN TROPIC BODY MIST 200 ML @ + WOMAN SECRET ROUGE SEDUCTION EDP 100 ML @ + ADIDAS FRUITY RHYTHM 50 ML,,https://perfumedigital.es/catalog/lote26v2346.JPG,https://perfumedigital.es/index.php?op=descripcion&id=36301
